ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53380.6
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53429.4
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53727.6
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53756.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53839.4
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53862.8
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53879.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53887.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53936.2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54172.6
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54182.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54233.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,54264.4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,54845.4
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,54937.4
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,54945.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55001.2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55081.4
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,55162.2
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,55203.2
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55226.8
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55246.6
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55372.8
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,55378.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55382.4
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,55383.4
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55418.8
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55426.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55447.4
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,55451.6
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55484.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55493.0
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,55505.4
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,55519.0
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,55522.0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,55535.6
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,55536.8
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55555.6
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,55568.2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55568.4
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,55579.0
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55606.0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55707.4
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55732.8
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55759.6
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55781.8
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,55795.4
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,55813.4
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55845.8
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,55889.6
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,55959.2
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,56021.6
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,56026.8
1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,56030.4
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56277.8
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,56284.4
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56303.6
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,56316.4
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,56333.2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56355.8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56378.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56380.6
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,56382.6
1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,56395.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56400.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,56412.8
0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,56420.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,56424.8
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,56429.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,56436.8
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,56442.8
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,56462.8
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56465.6
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56475.6
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,56483.2
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,56515.8
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,56516.6
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56523.2
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,56528.6
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,56536.8
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,56539.0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,56544.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,56548.0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,56553.6
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,56590.8
0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,56605.2
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,56610.0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,56619.2
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,56623.6
0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,56630.8
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56678.0
1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,56686.6
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,56690.4
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56699.2
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,56713.8
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,56714.8
